avund|good|mellan|vardaglig känsla, lätt att ledtråda
apati|good|mellan|känt ord, enkel ledtråd
frustration|good|mellan|vardagligt, abstrakt men lättbeskrivet
mutation|good|mellan|känt från skola och film
evolution|good|mellan|välkänt skolord, lätt ledtrådat
erosion|good|mellan|skolgeografi, beskrivbar process
kristall|good|enkelt|konkret vardagsord barn känner
fotosyntes|good|mellan|skolord alla lärt sig
spektrum|good|mellan|känt via regnbåge och ljus
gravitation|good|mellan|välkänd kraft, lätt ledtråd
friktion|good|mellan|skolfysik, lätt att beskriva
atmosfär|good|mellan|vardagligt i väder och rymd
molekyl|good|mellan|skolkemi, lätt beskrivbar
metall|good|enkelt|konkret material barn känner
genetik|good|mellan|känt via DNA och arv
databas|good|mellan|vardaglig teknik för vuxna
kod|good|enkelt|barn kan hemlig kod
pixel|good|mellan|känt skärmord, lätt beskrivet
digital|good|mellan|vardagligt adjektiv
kryptering|good|mellan|känt via appar och lösenord
virus|good|enkelt|vardagligt, sjukdom och dator
symmetri|good|mellan|skolord, lika på båda sidor
asymmetri|good|svart|beskrivbar utan att säga symmetri
perspektiv|good|mellan|vardagsord, abstrakt men vanligt
kontrast|good|mellan|vardagsord, inte svårt
dissonans|good|svart|bildad vuxen känner igen ordet
estetik|good|mellan|vanligt ord om det vackra
originalitet|good|mellan|vardaglig abstraktion, lätt ledtråd
stil|good|enkelt|kort vardagsord alla kan
komposition|good|mellan|känt från musik och bild
strategi|good|mellan|vardagligt spel- och jobbord
taktik|good|mellan|vardagligt sportord
momentum|good|svart|etablerat lånord i sportspråk
offensiv|good|mellan|vanligt sportord
defensiv|good|mellan|vanligt sportord
försvar|good|enkelt|vardagligt, sport och militär
intuition|good|mellan|magkänsla, lätt ledtrådad
instinkt|good|mellan|vardagligt djur- och känsloord
reflex|good|enkelt|barn bär reflex dagligen
mönster|good|enkelt|konkret vardagsord
vana|good|mellan|vardaglig men abstrakt
sarkasm|good|mellan|välkänt, lätt att exemplifiera
humor|good|enkelt|vardagsord alla kan
satir|good|mellan|känt via komik och media
parodi|good|mellan|känt, härma på skämt
metafor|good|mellan|skolord, bildligt uttryck
symbol|good|mellan|vanligt ord, lätta exempel
myt|good|mellan|välkänt kort ord
arketyp|good|svart|bildat men igenkännbart ord
tabu|good|mellan|välkänt, lätt att beskriva
ritual|good|mellan|vardagligt, morgonritual med mera
bruk|bad|cut|vagt, lever mest i sammansättningar
tradition|good|mellan|vardagligt högtidsord
ceremoni|good|mellan|känt via bröllop och examen
teori|good|mellan|vardagligt vuxenord
hypotes|good|mellan|skolord, kvalificerad gissning
analys|good|mellan|vardagligt vuxenord
syntes|good|svart|bildat ord, kräver bra ledtråd
slutsats|good|mellan|vardagligt, lätt ledtrådat
bevis|good|enkelt|barn kan från deckare
fakta|good|enkelt|barnbekant och etablerad form
statistik|good|mellan|vardagligt nyhetsord
logik|good|mellan|välkänt abstrakt ord
retorik|good|svart|bildat men känt talarord
etymologi|good|svart|känt för beläst vuxen
semantik|good|svart|känt via bara-semantik-frasen
syntax|good|svart|känt via grammatik och kod
semiotik|bad|cut|akademisk fackterm, oledtrådbar
inflation|good|mellan|vardagligt nyhetsord
recession|good|mellan|vanligt i ekonominyheter
kapital|good|mellan|vardagligt ekonomiord
budget|good|mellan|vardagsord, inte svårt
skuld|good|mellan|vardagligt, pengar och samvete
kredit|good|mellan|vardagligt ekonomiord
ränta|good|mellan|vardagligt, alla vuxna kan
vinst|good|enkelt|barn kan vinst och pris
förlust|good|enkelt|vardagligt motsatsord
produktivitet|good|mellan|vanligt jobbord
monopol|good|mellan|känt via spelet
konkurrens|good|mellan|vardagligt, lätt ledtrådat
allergi|good|enkelt|barn känner allergi väl
infektion|good|mellan|vardagligt sjukvårdsord
hormon|good|mellan|känt kroppsord
neuron|good|mellan|hjärncell, lätt ledtråd
synaps|good|svart|känt för beläst vuxen
endorfin|good|mellan|känt via träningsprat
adrenalin|good|mellan|vardagligt, adrenalinkick
insulin|good|mellan|känt via diabetes
metabolism|good|mellan|känt via kost och förbränning
hierarki|good|mellan|vanligt jobb- och samhällsord
status|good|mellan|vardagsord
prestige|good|mellan|vanligt vuxenord
auktoritet|good|mellan|vanligt samhällsord
dominans|good|mellan|vanligt, lätt ledtrådat
solidaritet|good|mellan|vanligt samhällsord
nepotism|good|svart|bildat, jobb åt släkten
diskriminering|good|mellan|vardagligt nyhetsord
segregation|good|mellan|vanligt debattord
assimilation|good|svart|debattord för beläst vuxen
